N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"60,600",800,-1.30%,100,"3,617,688","5,969,783",49.90,"9,304,406",9.83,13.92,
2,LG에너지솔루션,"571,000","2,000",-0.35%,500,"1,336,140","234,000",5.08,"322,488",232.68,10.68,
3,삼성바이오로직스,"888,000",0,0.00%,"2,500","632,025","71,174",10.83,"46,582",120.55,8.21,
4,SK하이닉스,"85,200","1,100",-1.27%,"5,000","620,258","728,002",50.84,"1,601,889",6.69,16.84,
5,LG화학,"687,000","5,000",+0.73%,"5,000","484,969","70,592",48.21,"309,454",24.17,18.47,
6,삼성SDI,"680,000","14,000",-2.02%,"5,000","467,599","68,765",46.77,"183,699",27.88,8.45,
7,삼성전자우,"55,300","1,100",-1.95%,100,"455,056","822,887",71.75,"727,228",8.97,N/A,
8,현대차,"165,500","2,500",-1.49%,"5,000","353,621","213,668",29.05,"450,125",7.38,6.84,
9,NAVER,"180,500","2,000",-1.10%,100,"296,109","164,049",48.87,"627,289",31.80,106.72,
10,기아,"65,200",0,0.00%,"5,000","264,297","405,363",36.17,"982,111",5.72,14.69,
11,셀트리온,"176,500",500,-0.28%,"1,000","248,521","140,805",21.53,"261,486",41.85,16.04,
12,POSCO홀딩스,"292,500","4,000",+1.39%,"5,000","247,371","84,571",51.96,"314,857",4.79,13.97,
13,카카오,"54,300","2,000",-3.55%,100,"241,817","445,336",26.98,"1,742,126",15.57,17.10,
14,삼성물산,"122,500",0,0.00%,100,"228,937","186,887",16.77,"238,435",12.94,5.40,
15,KB금융,"49,800",100,+0.20%,"5,000","203,631","408,897",73.13,"760,234",4.40,9.80,
16,현대모비스,"210,500","5,000",-2.32%,"5,000","198,470","94,285",36.38,"140,587",8.31,6.87,
17,신한지주,"36,450",50,-0.14%,"5,000","186,964","512,934",61.52,"552,110",4.53,8.80,
18,포스코케미칼,"218,000","5,000",-2.24%,500,"168,870","77,463",8.35,"622,137",105.01,7.92,
19,SK이노베이션,"167,500","3,000",-1.76%,"5,000","154,880","92,466",26.06,"195,468",7.09,1.91,
20,SK,"206,000","2,500",-1.20%,200,"152,748","74,149",22.71,"133,334",4.46,10.19,
21,LG전자,"89,500",600,-0.67%,"5,000","146,465","163,648",26.66,"390,763",10.24,6.32,
22,삼성생명,"67,600",300,+0.45%,500,"135,200","200,000",13.35,"103,681",18.53,4.01,
23,LG,"83,600","1,300",-1.53%,"5,000","131,504","157,301",36.40,"85,111",6.09,12.36,
24,KT&G,"95,600",100,+0.10%,"5,000","131,252","137,292",43.37,"283,059",11.30,10.74,
25,고려아연,"656,000","8,000",+1.23%,"5,000","130,302","19,863",20.94,"66,463",17.15,11.07,
26,하나금융지주,"42,300",350,+0.83%,"5,000","125,167","295,903",70.15,"615,209",3.62,10.86,
27,한국전력,"19,350",150,-0.77%,"5,000","124,220","641,964",14.32,"554,512",-0.61,-7.99,
28,카카오뱅크,"25,000","1,850",-6.89%,"5,000","119,158","476,634",13.31,"5,420,102",55.43,4.91,
29,크래프톤,"224,000","12,500",-5.29%,100,"109,921","49,072",29.81,"194,663",16.35,17.86,
30,SK텔레콤,"49,750",0,0.00%,100,"108,869","218,833",45.97,"262,932",11.52,13.63,
31,두산에너빌리티,"16,850",400,+2.43%,"5,000","107,555","638,308",11.42,"4,916,438",337.00,10.67,
32,현대중공업,"116,500","2,500",+2.19%,"5,000","103,421","88,773",5.98,"108,908",-14.00,-14.87,
33,HMM,"20,550",300,+1.48%,"5,000","100,498","489,039",9.85,"877,845",0.88,88.62,
34,삼성전기,"133,500","3,500",-2.55%,"5,000","99,716","74,694",28.45,"358,048",10.86,14.29,
35,한화솔루션,"51,700",900,+1.77%,"5,000","98,891","191,278",24.42,"1,912,378",33.97,8.79,
36,엔씨소프트,"448,500","10,500",-2.29%,500,"98,464","21,954",43.41,"67,778",19.34,12.62,
37,삼성에스디에스,"127,000",0,0.00%,500,"98,270","77,378",13.77,"42,425",10.24,8.80,
38,S-Oil,"86,900","1,600",-1.81%,"2,500","97,834","112,583",80.23,"254,801",4.68,21.76,
39,LG생활건강,"620,000","14,000",-2.21%,"5,000","96,833","15,618",36.82,"43,168",22.77,16.65,
40,KT,"36,850",300,+0.82%,"5,000","96,220","261,112",43.87,"748,099",6.75,9.36,
41,삼성화재,"197,000","2,000",+1.03%,500,"93,328","47,375",50.17,"54,967",8.63,7.09,
42,우리금융지주,"12,350",250,+2.07%,"5,000","89,915","728,061",40.44,"1,927,402",3.07,10.59,
43,대한항공,"24,300",850,-3.38%,"5,000","89,478","368,221",16.18,"1,442,880",4.84,11.60,
44,기업은행,"11,000",100,+0.92%,"5,000","81,873","744,301",13.66,"592,825",3.61,9.21,
45,카카오페이,"56,400","4,600",-7.54%,500,"74,843","132,701",42.88,"1,413,697",-284.85,-2.45,
46,LG이노텍,"303,000","5,500",-1.78%,"5,000","71,711","23,667",24.56,"136,861",6.91,30.94,
47,아모레퍼시픽,"115,500",0,0.00%,500,"67,559","58,493",24.81,"287,781",116.67,4.20,
48,SK바이오사이언스,"86,700","2,100",-2.36%,500,"66,572","76,784",4.58,"236,156",19.86,38.08,
49,현대글로비스,"173,500",500,-0.29%,500,"65,062","37,500",47.16,"64,769",6.28,14.41,
50,CJ제일제당,"394,000","7,000",-1.75%,"5,000","59,313","15,054",24.52,"26,909",9.68,10.76,
